@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\dot_detector.v":70:4:70:9|Found counter in view:work.dot_detector(verilog) instance row_idx[15:0] 
@N: MF179 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\osd_overlay.v":133:18:133:35|Found 11 by 11 bit equality operator ('==') un1_px_16 (in view: work.osd_engine(verilog))
@N: MF179 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\osd_overlay.v":133:38:133:54|Found 11 by 11 bit equality operator ('==') un1_px_17 (in view: work.osd_engine(verilog))
@N: MF179 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\osd_overlay.v":134:18:134:35|Found 11 by 11 bit equality operator ('==') un1_py_9 (in view: work.osd_engine(verilog))
@N: MF179 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\osd_overlay.v":134:38:134:54|Found 11 by 11 bit equality operator ('==') un1_py_10 (in view: work.osd_engine(verilog))
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\write_lsram.vhd":200:8:200:9|Found counter in view:work.WRITE_LSRAM(write_lsram) instance s_ram_address[9:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\write_lsram.vhd":177:8:177:9|Found counter in view:work.WRITE_LSRAM(write_lsram) instance s_v_counter[9:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\write_lsram.vhd":143:8:143:9|Found counter in view:work.WRITE_LSRAM(write_lsram) instance s_h_counter[9:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\lcd_fsm.vhd":179:16:179:17|Found counter in view:work.LCD_FSM(lcd_fsm) instance s_ram_address[9:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\coreuart_c0\coreuart_c0_0\rtl\vlog\core_obfuscated\clock_gen.v":219:0:219:5|Found counter in view:work.COREUART_C0_COREUART_C0_0_Clock_gen_1s_0s(verilog) instance genblk1\.CUARTO0[12:0] 
@N: MO225 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\coreuart_c0\coreuart_c0_0\rtl\vlog\core_obfuscated\rx_async.v":871:0:871:5|There are no possible illegal states for state machine CUARTll0[3:0] (in view: work.COREUART_C0_COREUART_C0_0_Rx_async_0s_0s_0s_1s_2s_3s(verilog)); safe FSM implementation is not required.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[8] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[9] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[10] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[11] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[12] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[13] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[14] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance s_addr[15] (in view: work.receive_data(receive_data)) of type view:PrimLib.dffs(prim) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[20] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[24] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[26] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[28] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[30] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[21] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[22] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[23] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[25] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[27] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[29] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\receive_data.vhd":133:8:133:9|Removing sequential instance UART_interface_0.receive_data_0.s_data[31] (in view: work.TOP(verilog)) because it does not drive other instances.
@N: FP130 |Promoting Net MX2_0_Y_arst on CLKINT  I_581 
@N: FP130 |Promoting Net INIT_DONE_arst on CLKINT  I_582 
@N: FP130 |Promoting Net FlashFreeze_SB_0.CORERESET_FF_0_0.CORERESET_FF_0_0.sm0_areset_n_clk_base_i on CLKINT  I_583 
@N: FP130 |Promoting Net FlashFreeze_SB_0.CORERESET_FF_0_0.CORERESET_FF_0_0.sm0_areset_n_arst on CLKINT  I_584 
@N: FP130 |Promoting Net led_blink_0.clkout on CLKINT  I_585 
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: MT615 |Found clock OSC_C0_0/OSC_C0_0/I_RCOSC_25_50MHZ/CLKOUT with period 20.00ns 
@N: MT615 |Found clock FlashFreeze_SB_0/CCC_0/GL0 with period 10.00ns 
@N: MT615 |Found clock FlashFreeze_SB_0/CCC_0/GL1 with period 41.67ns 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
